2025-08-24 11:16:20.989575 | BENIGN | Proto=17, Sport=65165, Dport=53
2025-08-24 11:16:20.997573 | BENIGN | Proto=17, Sport=51558, Dport=53
2025-08-24 11:16:21.004575 | BENIGN | Proto=17, Sport=52711, Dport=53
2025-08-24 11:16:21.012576 | BENIGN | Proto=17, Sport=53, Dport=65165
2025-08-24 11:16:21.018574 | BENIGN | Proto=17, Sport=53, Dport=51558
2025-08-24 11:16:21.028575 | BENIGN | Proto=17, Sport=53, Dport=52711
2025-08-24 11:16:21.034573 | BENIGN | Proto=0, Sport=60196, Dport=443
2025-08-24 11:16:21.042573 | BENIGN | Proto=0, Sport=60196, Dport=443
2025-08-24 11:16:21.048573 | BENIGN | Proto=0, Sport=60196, Dport=443
2025-08-24 11:16:21.059573 | BENIGN | Proto=0, Sport=60196, Dport=443
2025-08-24 11:16:21.065573 | BENIGN | Proto=6, Sport=443, Dport=55932
2025-08-24 11:16:21.072575 | BENIGN | Proto=6, Sport=443, Dport=55932
2025-08-24 11:16:21.079575 | BENIGN | Proto=6, Sport=443, Dport=55932
2025-08-24 11:16:21.085580 | BENIGN | Proto=6, Sport=443, Dport=55932
2025-08-24 11:16:21.092848 | BENIGN | Proto=6, Sport=443, Dport=55932
2025-08-24 11:16:21.099851 | BENIGN | Proto=6, Sport=443, Dport=55932
2025-08-24 11:16:21.106907 | BENIGN | Proto=6, Sport=443, Dport=55932
2025-08-24 11:16:21.112906 | BENIGN | Proto=6, Sport=443, Dport=55932
2025-08-24 11:16:21.119905 | BENIGN | Proto=6, Sport=443, Dport=55932
2025-08-24 11:16:21.127906 | BENIGN | Proto=6, Sport=443, Dport=55932
2025-08-24 11:16:21.132906 | BENIGN | Proto=6, Sport=443, Dport=55932
2025-08-24 11:16:21.140908 | BENIGN | Proto=6, Sport=443, Dport=55932
2025-08-24 11:16:21.146905 | BENIGN | Proto=6, Sport=443, Dport=55932
2025-08-24 11:16:21.152905 | BENIGN | Proto=6, Sport=443, Dport=55932
2025-08-24 11:16:21.161903 | BENIGN | Proto=6, Sport=443, Dport=55932
2025-08-24 11:16:21.167905 | BENIGN | Proto=6, Sport=443, Dport=55932
2025-08-24 11:16:21.174906 | BENIGN | Proto=0, Sport=443, Dport=60196
2025-08-24 11:16:21.180907 | BENIGN | Proto=0, Sport=443, Dport=60196
2025-08-24 11:16:21.187910 | BENIGN | Proto=0, Sport=443, Dport=60196
2025-08-24 11:16:21.194908 | BENIGN | Proto=0, Sport=443, Dport=60196
2025-08-24 11:16:21.201905 | BENIGN | Proto=0, Sport=60196, Dport=443
2025-08-24 11:16:21.208905 | BENIGN | Proto=0, Sport=443, Dport=60196
2025-08-24 11:16:21.215906 | BENIGN | Proto=0, Sport=443, Dport=60196
2025-08-24 11:16:21.221906 | BENIGN | Proto=0, Sport=443, Dport=60196
2025-08-24 11:16:21.228905 | BENIGN | Proto=0, Sport=443, Dport=60196
2025-08-24 11:16:21.235905 | BENIGN | Proto=0, Sport=443, Dport=60196
2025-08-24 11:16:21.242905 | BENIGN | Proto=0, Sport=60196, Dport=443
2025-08-24 11:16:21.248905 | BENIGN | Proto=0, Sport=60196, Dport=443
2025-08-24 11:16:21.256908 | BENIGN | Proto=0, Sport=443, Dport=60196
2025-08-24 11:16:21.263038 | BENIGN | Proto=6, Sport=55932, Dport=443
2025-08-24 11:16:21.269040 | BENIGN | Proto=0, Sport=443, Dport=60196
2025-08-24 11:16:21.278039 | BENIGN | Proto=0, Sport=60196, Dport=443
2025-08-24 11:16:21.320042 | BENIGN | Proto=6, Sport=443, Dport=55932
2025-08-24 11:16:21.365040 | BENIGN | Proto=6, Sport=55932, Dport=443
2025-08-24 11:16:22.097004 | BENIGN | Proto=17, Sport=51111, Dport=53
2025-08-24 11:16:22.102462 | BENIGN | Proto=17, Sport=55563, Dport=53
2025-08-24 11:16:22.113232 | BENIGN | Proto=17, Sport=53, Dport=51111
2025-08-24 11:16:22.122728 | BENIGN | Proto=17, Sport=53, Dport=55563
2025-08-24 11:16:22.130068 | BENIGN | Proto=6, Sport=58009, Dport=443
2025-08-24 11:16:22.349375 | BENIGN | Proto=6, Sport=443, Dport=58009
2025-08-24 11:16:22.364376 | BENIGN | Proto=6, Sport=58009, Dport=443
2025-08-24 11:16:22.377374 | BENIGN | Proto=6, Sport=58009, Dport=443
2025-08-24 11:16:22.386371 | BENIGN | Proto=0, Sport=0, Dport=0
